,id,title,release_year,age_certification,runtime,production_countries,imdb_score
370,tm23977,Fuga,2006,,110,"['CL', 'AR']",6.2
371,tm160596,Zozo,2005,,105,"['CZ', 'GB', 'DK', 'NL', 'SE']",6.5
372,tm129971,Luck by Chance,2009,,155,['IN'],7.1
373,tm56428,Trailer Park Boys: Say Goodnight to the Bad Guys,2008,,60,['CA'],7.8
374,tm177687,Naruto: Legend of the Stone of Gelel,2005,PG-13,96,['JP'],6.4
375,tm77863,Honeymoon Travels Pvt. Ltd.,2007,PG-13,118,['IN'],6.1
376,tm80455,Manorama Six Feet Under,2007,R,137,['IN'],7.6
377,tm184732,Dhobi Ghat,2010,,102,['IN'],7.0
378,tm89764,Inuyasha the Movie 4: Fire on the Mystic Island,2004,PG-13,88,['JP'],7.2
379,tm134407,Dev.D,2009,PG-13,141,['IN'],7.9
380,tm103133,Karthik Calling Karthik,2010,PG,135,['IN'],7.1
381,tm54147,Dostana,2008,PG-13,142,"['IN', 'US']",6.5
382,tm101684,Romantik Komedi,2010,G,95,['TR'],5.3
383,tm152724,Kurbaan,2009,R,161,['IN'],5.7
384,tm96168,Once Upon a Time in Mumbaai,2010,PG-13,132,['IN'],7.4
385,tm146887,Delhi-6,2009,,141,['IN'],6.1
386,tm138902,Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,PG-13,99,['JP'],7.6
387,tm165809,Bluffmaster!,2005,PG,137,['IN'],6.6
388,tm31335,Golmaal Returns,2008,PG,135,['IN'],5.1
389,tm43179,Oye Lucky! Lucky Oye!,2008,,42,['IN'],7.7
390,tm170169,Kaal,2005,,127,['IN'],4.7
391,tm84316,Shootout at Lokhandwala,2007,PG-13,145,['IN'],7.1
392,tm112235,Kannathil Muthamittal,2002,,137,['IN'],8.4
393,tm368679,Madness in the Desert,2004,,141,['IN'],8.4
394,tm148041,What's Your Raashee?,2009,PG-13,192,['IN'],4.8
395,tm176297,Kyaa Kool Hai Hum,2005,,172,['IN'],6.1
396,tm68191,My Führer,2007,,89,['DE'],5.5
397,tm352863,Splatter,2009,,29,['US'],
398,tm25029,Eternal Summer,2006,,96,['TW'],7.0
399,tm237621,The Figurine (Araromire),2009,PG-13,122,['NG'],4.4
400,tm22989,Jim Gaffigan: Beyond the Pale,2006,,72,['US'],7.8
