Unnamed: 0,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,,history,sport,war,horror,romance,crime,reality,music,comedy,thriller,european,family,fantasy,western,animation,documentation,scifi,drama,action
2304,tm883441,Money Heist: The Phenomenon,2020,,57,['documentation'],['ES'],,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2305,tm847430,Words Bubble Up Like Soda Pop,2020,,87,"['animation', 'drama']",['JP'],,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2306,tm922532,Freaks – You're One of Us,2020,NC-17,93,"['fantasy', 'thriller', 'drama', 'action', 'scifi']",['DE'],,5.4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
2307,tm885860,Hannah Gadsby: Douglas,2020,,72,['comedy'],['AU'],,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2308,tm453850,Time to Hunt,2020,,135,"['thriller', 'drama', 'action', 'scifi', 'crime']",['KR'],,6.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
2309,tm472195,Almost Love,2019,,94,"['comedy', 'drama', 'romance']",['US'],,5.7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2310,tm455059,We Die Young,2019,R,93,"['thriller', 'drama', 'action', 'crime', 'european']","['BG', 'US']",,5.2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
2311,tm893680,Jo Koy: In His Elements,2020,,55,['comedy'],['US'],,5.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2312,tm888080,The Last Days of American Crime,2020,,149,"['action', 'crime', 'thriller', 'scifi', 'drama']",['US'],,3.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
2313,tm854669,Taylor Tomlinson: Quarter-Life Crisis,2020,,61,['comedy'],['US'],,7.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2314,tm917036,The Speed Cubers,2020,,41,['documentation'],['US'],,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2315,tm458127,Human Nature,2019,,107,"['documentation', 'thriller']",['US'],,7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2316,tm454375,Benchwarmers 2: Breaking Balls,2019,PG-13,90,"['comedy', 'sport']",['US'],,4.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2317,tm838687,Holiday in the Wild,2019,,85,"['romance', 'comedy', 'drama']",['US'],,6.1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2318,tm848995,Jingle Jangle: A Christmas Journey,2020,PG,122,"['fantasy', 'music', 'family']",['US'],,6.4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2319,tm470560,Circus of Books,2019,,92,"['documentation', 'history']",['US'],,7.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2320,tm883189,Dangerous Lies,2020,,96,"['thriller', 'horror', 'drama', 'comedy', 'crime']",['US'],,5.3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
2321,tm1127695,The Endless Trench,2019,,148,"['drama', 'history', 'thriller', 'war', 'action', 'european']","['ES', 'FR']",,7.2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
2322,tm469400,Brené Brown: The Call to Courage,2019,,76,"['documentation', 'drama']",['US'],,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2323,tm670553,Your Name Engraved Herein,2020,,118,"['drama', 'romance']",['TW'],,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2324,tm942240,Dance of the Forty One,2020,,99,"['drama', 'history']","['BR', 'MX']",,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2325,tm839411,Me Against You: Mr. S's Vendetta,2020,,64,"['comedy', 'family', 'european']",['IT'],,1.6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2326,tm823355,Inside Man: Most Wanted,2019,R,106,"['action', 'thriller', 'crime']",['US'],,5.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2327,tm857187,Tom Segura: Ball Hog,2020,,70,['comedy'],['US'],,7.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2328,tm814671,Secret Obsession,2019,,97,"['drama', 'thriller']",['US'],,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2329,tm472411,Iron Fists and Kung Fu Kicks,2019,,108,"['documentation', 'history']",['AU'],,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2330,tm826368,American Son,2019,,90,['drama'],['US'],,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2331,tm824559,"Bikram: Yogi, Guru, Predator",2019,,86,"['crime', 'documentation']",['US'],,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2332,tm376739,Bethany Hamilton: Unstoppable,2019,PG,99,"['documentation', 'sport']",['US'],,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2333,tm814644,Coffee & Kareem,2020,,88,"['crime', 'action', 'comedy']",['US'],,5.1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2334,tm458326,Walk. Ride. Rodeo.,2019,,100,['drama'],['US'],,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2335,tm449594,Brother,2019,,96,"['drama', 'european']",['FR'],,6.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2336,tm454824,Silver Skates,2020,,136,"['history', 'romance', 'action', 'drama', 'family']",['RU'],,7.1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2337,tm853113,Thomas & Friends: Marvelous Machinery,2020,,59,"['fantasy', 'animation', 'action', 'family']",[],,6.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
2338,tm885805,Debt Collectors,2020,R,97,"['action', 'comedy', 'crime']",['US'],,5.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2339,tm453994,The Body Remembers When the World Broke Open,2019,,105,"['drama', 'european']","['NO', 'CA']",,6.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2340,tm458328,Badla,2019,PG-13,120,"['thriller', 'crime', 'drama']",['IN'],,7.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2341,tm838869,Wonder Boy,2019,,99,"['documentation', 'european']",['FR'],,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2342,tm470836,The Show Must Go On: The Queen + Adam Lambert Story,2019,,81,"['music', 'documentation']",['US'],,7.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2343,tm840438,Mike Birbiglia: The New One,2019,,85,['comedy'],[],,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2344,tm495609,Game Over,2019,,102,"['drama', 'thriller', 'horror', 'scifi']",['IN'],,7.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2345,tm833638,The Forest of Love,2019,,151,"['drama', 'crime', 'horror', 'thriller']",['JP'],,6.3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2346,tm453903,Elisa & Marcela,2019,,118,"['drama', 'romance', 'european']",['ES'],,6.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2347,tm461829,The Hard Way,2019,,94,['action'],['US'],,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2348,tm446581,The Edge of Democracy,2019,,121,"['documentation', 'history']",['BR'],,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2349,tm831873,The Crimes That Bind,2020,,99,"['crime', 'drama', 'thriller']",['AR'],,6.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2350,tm868777,"Love, Guaranteed",2020,,90,"['comedy', 'romance']",['US'],,5.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
